"","title","year","length","rating","votes","budget","genre"
"56349","Weed: Or, A Cancer in the Community",2003,15,8.2,5,4750,"comedy"
"56352","Week End",1967,105,7.2,1064,250000,"drama"
"56364","Weekend of Shadows",1978,95,6.6,11,500000,"drama"
"56393","Welcome Danger",1929,115,6.8,54,979828,"comedy"
"56405","Welcome to Collinwood",2002,86,6.1,2831,12000000,"comedy"
"56410","Welcome to Mooseport",2004,117,5.3,2356,26000000,"comedy"
"56411","Welcome to Sarajevo",1997,103,6.8,1465,9000000,"drama"
"56424","Well, The",1997,101,6.2,118,3000000,"drama"
"56461","Wesley Cash",2004,73,8.2,31,20000,"action"
"56466","West Beyrouth",1998,105,7.3,462,800000,"drama"
"56504","Westward Ho",1935,61,4,36,35000,"drama"
"56541","What Did You Do in the War, Daddy?",1966,116,6.1,204,7000000,"comedy"
"56561","What Lies Beneath",2000,130,6.6,20584,90000000,"drama"
"56566","What Planet Are You From?",2000,104,5.6,2574,50000000,"comedy"
"56570","What Price Hollywood?",1932,88,7.2,123,411676,"drama"
"56618","What's the Worst That Could Happen?",2001,97,5,2531,45000000,"comedy"
"56679","When Zachary Beaver Came to Town",2003,85,7.9,35,3000000,"drama"
"56747","Where's Marlowe?",1998,97,6.2,188,3500000,"comedy"
"56755","Which Way Is Up?",1977,94,5.7,135,3200000,"comedy"
"56776","Whisky",2004,99,8,368,500000,"comedy"
"56782","Whispering Chorus, The",1918,86,6.3,12,72500,"drama"
"56798","Whistlin' Dixie",2004,19,9.6,5,5000,"comedy"
"56840","White Like Me",2004,15,8.9,14,40000,"drama"
"56848","White Oleander",2002,109,6.9,4545,16000000,"drama"
"56857","White Rose, The",1923,100,7.5,16,650000,"drama"
"56865","White Squall",1996,129,6.4,3445,38000000,"drama"
"56866","White Star",1983,92,4,26,100000,"drama"
"56919","Who's Afraid of Virginia Woolf?",1966,131,8.1,7060,7000000,"drama"
"56931","Who's That Knocking at My Door",1967,90,6.5,650,75000,"drama"
"56942","Whole",2003,55,7.5,12,50000,"documentary"
"56944","Whole Nine Yards, The",2000,98,6.6,17678,24000000,"comedy"
"56946","Whole Ten Yards, The",2004,98,4.8,4133,40000000,"comedy"
"56949","Whole Wide World, The",1996,111,7.4,956,1300000,"drama"
"56991","Wicked Spring",2002,102,5.6,158,500000,"drama"
"57052","Wild Bunch, The",1969,179,8.2,10550,6000000,"action"
"57062","Wild Gals of the Naked West",1962,65,2.7,74,26000,"comedy"
"57105","Wild Ride, The",1960,88,3.8,56,30000,"drama"
"57140","Wild in the Streets",1968,94,5.9,329,1000000,"drama"
"57147","Wilde",1997,118,6.9,2545,10000000,"drama"
"57191","Willy Wonka & the Chocolate Factory",1971,100,7.6,16487,3000000,"comedy"
"57194","Wilson",1944,154,6.8,158,4000000,"drama"
"57208","Wind River",1998,97,5.4,97,5500000,"drama"
"57209","Wind and the Lion, The",1975,119,7,1171,4000000,"action"
"57242","Wing Commander",1999,96,3.7,4854,30000000,"action"
"57276","Winning New Hampshire",2004,45,8.1,10,15000,"documentary"
"57296","Winter Kills",1979,97,6.2,288,6500000,"drama"
"57302","Winter Solstice",2000,30,8,5,25000,"drama"
"57312","Winterlude",2005,95,7.6,7,35000,"comedy"
"57333","Wise Guys",1986,100,5.1,790,13000000,"comedy"
"57340","Wisegirls",2002,96,5.7,792,11000000,"drama"
"57404","Without Limits",1998,117,6.8,1249,25000000,"drama"
"57414","Without a Paddle",2004,95,5.4,3605,19000000,"comedy"
"57418","Witness for the Prosecution",1957,118,8.3,5112,3000000,"drama"
"57438","Wizards",1977,80,6.2,1059,1200000,"animation"
"57469","Wolf Man, The",1941,70,7.4,1582,180000,"drama"
"57518","Woman of Affairs, A",1928,98,7.2,100,383000,"drama"
"57522","Woman of Paris, A",1923,93,7.3,351,351000,"drama"
"57542","Women Talking Dirty",1999,97,5.8,85,5000000,"comedy"
"57585","Wong Fei-hung chi saiwik hung si",1997,102,6.2,433,12000000,"action"
"57601","Woodstock",1970,216,7.6,2540,600000,"documentary"
"57611","Word Universe: A Journey to West Africa, The",1995,91,1.8,13,25000,"documentary"
"57617","Words and Music",1948,120,5.9,148,2799970,"comedy"
"57624","Work and the Story, The",2003,77,5.8,37,103000,"comedy"
"57642","World Is Not Enough, The",1999,128,6.3,24205,135000000,"action"
"57647","World Traveler",2001,103,5.4,350,2000000,"drama"
"57664","World's Finest",2004,3,6.7,90,12000,"action"
"57683","Wounded Hearts",2002,93,3.6,19,50000,"drama"
"57703","Writer's Block",2003,23,7.2,29,1200,"comedy"
"57711","Wrong Man, The",1956,105,7.3,1842,1200000,"drama"
"57763","X Files, The",1998,121,6.7,18314,66000000,"action"
"57769","X-Men",2000,104,7.3,45332,75000000,"action"
"57771","X2",2003,133,7.9,38191,110000000,"action"
"57780","Xanadu",1980,93,4.4,2201,20000000,"romance"
"57916","Yards, The",2000,115,6.3,3386,20000000,"drama"
"57936","Yazi tura",2004,102,8.6,95,10000,"drama"
"57954","Yearling, The",1946,128,7.5,677,4000000,"drama"
"57968","Yellow Bird",2001,30,8,21,100000,"drama"
"58008","Yerma",1999,118,5.5,38,1670000,"drama"
"58015","Yes and",2004,92,8.5,10,5000,"comedy"
"58016","Yes, Giorgio",1982,110,3.3,113,19000000,"comedy"
"58070","Yo puta",2004,76,4.3,151,6000000,"drama"
"58112","You Can Count on Me",2000,111,7.8,7630,1200000,"drama"
"58130","You Got Served",2004,95,1.9,6041,8000000,"drama"
"58141","You Only Live Once",1937,86,7.6,364,575000,"drama"
"58142","You Only Live Twice",1967,117,6.8,8252,9500000,"action"
"58195","Young Americans, The",1993,104,5.6,524,3000000,"drama"
"58217","Young Frankenstein",1974,106,8,22281,2800000,"comedy"
"58219","Young Gentlemen",2004,24,9.7,6,30000,"drama"
"58239","Young Mr. Lincoln",1939,100,7.2,488,1500000,"drama"
"58254","Young Stranger, The",1957,84,6.6,67,350000,"drama"
"58291","Yours, Mine and Ours",1968,111,6.7,806,2500000,"comedy"
"58328","Yume",1990,119,7.5,2735,12000000,"drama"
"58373","Zabriskie Point",1970,95,6.4,1377,7000000,"drama"
"58502","Zero Effect",1998,116,7,4820,5000000,"comedy"
"58579","Ziegfeld Follies",1946,110,6.5,335,3240816,"comedy"
"58598","Zimmer Feri",1998,97,6.3,61,500000,"comedy"
"58648","Zohar",1993,116,5.9,26,800000,"drama"
"58671","Zombies of the Stratosphere",1952,167,4.4,49,176357,"action"
"58689","Zookeeper, The",2001,108,7.7,633,6000000,"drama"
"58690","Zoolander",2001,89,6.1,18277,28000000,"comedy"
"58787","xXx",2002,132,5.5,18514,85000000,"action"
"58788","xXx: State of the Union",2005,101,3.9,1584,87000000,"action"
